,0
0,0.85119
1,0.8236424
2,0.791481
3,0.75412524
4,0.71099573
5,0.6615472
6,0.60531163
7,0.54195184
8,0.47132298
9,0.39353746
10,0.3090246
11,0.21857418
12,0.123351604
13,0.024873123
14,-0.075065054
15,-0.17450163
16,-0.2714566
17,-0.36408776
18,-0.4508318
19,-0.5305069
20,-0.5305069
21,-0.5305069
22,-0.5305069
23,-0.5305069
24,-0.5305069
25,-0.5305069
26,-0.5305069
27,-0.5305069
28,-0.5305069
29,-0.5305069
30,-0.5305069
31,-0.5305069
32,-0.5305069
33,-0.5305069
34,-0.5305069
35,-0.5305069
36,-0.5305069
37,-0.5305069
38,-0.5305069
39,-0.5305069
40,-0.5305069
41,-0.5305069
42,-0.5305069
43,-0.5305069
44,-0.5305069
45,-0.5305069
46,-0.5305069
47,-0.5305069
48,-0.5305069
49,-0.5305069
50,-0.5305069
51,-0.5305069
52,-0.5305069
53,-0.5305069
54,-0.5305069
55,-0.5305069
56,-0.5305069
57,-0.5305069
58,-0.5305069
59,-0.5305069
60,-0.5305069
61,-0.5305069
62,-0.5305069
63,-0.5305069
64,-0.5305069
65,-0.5305069
66,-0.5305069
67,-0.5305069
68,-0.5305069
69,-0.5305069
70,-0.5305069
71,-0.5305069
72,-0.5305069
73,-0.5305069
74,-0.5305069
75,-0.5305069
76,-0.5305069
77,-0.5305069
78,-0.5305069
79,-0.5305069
80,-0.5305069
81,-0.5305069
82,-0.5305069
83,-0.5305069
84,-0.5305069
85,-0.5305069
86,-0.5305069
87,-0.5305069
88,-0.5305069
89,-0.5305069
90,-0.5305069
91,-0.5305069
92,-0.5305069
93,-0.5305069
94,-0.5305069
95,-0.5305069
96,-0.5305069
97,-0.5305069
98,-0.5305069
99,-0.5305069
100,-0.5305069
101,-0.5305069
102,-0.5305069
103,-0.5305069
104,-0.5305069
105,-0.5305069
106,-0.5305069
107,-0.5305069
108,-0.5305069
109,-0.5305069
110,-0.5305069
111,-0.5305069
112,-0.5305069
113,-0.5305069
114,-0.5305069
115,-0.5305069
116,-0.5305069
117,-0.5305069
118,-0.5305069
119,-0.5305069
120,-0.5305069
121,-0.5305069
122,-0.5305069
123,-0.5305069
124,-0.5305069
125,-0.5305069
126,-0.5305069
127,-0.5305069
128,-0.5305069
129,-0.5305069
130,-0.5305069
131,-0.5305069
132,-0.5305069
133,-0.5305069
134,-0.5305069
135,-0.5305069
136,-0.5305069
137,-0.5305069
138,-0.5305069
139,-0.5305069
140,-0.5305069
141,-0.5305069
142,-0.5305069
143,-0.5305069
144,-0.5305069
145,-0.5305069
146,-0.5305069
147,-0.5305069
148,-0.5305069
149,-0.5305069
150,-0.5305069
151,-0.5305069
152,-0.5305069
153,-0.5305069
154,-0.5305069
155,-0.5305069
156,-0.5305069
157,-0.5305069
158,-0.5305069
159,-0.5305069
160,-0.5305069
161,-0.5305069
162,-0.5305069
163,-0.5305069
164,-0.5305069
165,-0.5305069
166,-0.5305069
167,-0.5305069
168,-0.5305069
169,-0.5305069
170,-0.5305069
171,-0.5305069
172,-0.5305069
173,-0.5305069
174,-0.5305069
175,-0.5305069
176,-0.5305069
177,-0.5305069
178,-0.5305069
179,-0.5305069
180,-0.5305069
181,-0.5305069
182,-0.5305069
183,-0.5305069
184,-0.5305069
185,-0.5305069
186,-0.5305069
187,-0.5305069
188,-0.5305069
189,-0.5305069
190,-0.5305069
191,-0.5305069
192,-0.5305069
193,-0.5305069
194,-0.5305069
195,-0.5305069
196,-0.5305069
197,-0.5305069
198,-0.5305069
199,-0.5305069
